01# Relevant columns are: 
02# 
03# 4. R_proj (kpc)
04# 5. PA (deg east of north) (only populated for clusters with a velocity, for now)
05# 15. M31-centric velocity  (km/s)  (not all clusters)
06# 16. error  (km/s)
07# 18. Classification (Substructure, Non-substructure, Ambiguous)
08# 
09# For the classification, “ambiguous” means could be either “substructure” or “non-substructure”. 
10#
11# Name   RA   Dec   R_proj   PA   zeta_MP   zeta_MP   M_V   Source   r_h   Source   (V-I)_0   Source   V_helio   err   V_M31   err   Source   Classification 
PAndAS-48  00:59:28.3  +31:29:10.6  141.3  159.7  0.09  0.15  -4.80  M13  26.0  M13  0.81  H14  -250  5  24  6  V14  Ambiguous 
H25        00:59:34.6  +44:05:38.9  57.2  46.2  0.70  0.43  -7.93  H14  4.6  H14  0.94  H14  -204  14  93  14  V14  Non-substructure 
PAndAS-49  01:00:50.1  +42:18:13.3  48.2  71.5  0.39  0.33  -4.81  H14  16.4  H14  1.07  H14  -240  7  54  8  V14  Ambiguous 
PAndAS-50  01:01:50.7  +48:18:19.2  106.7  24.1  0.03  0.01  -6.38  H14  17.1  H14  1.10  H14  -323  7  -23  8  V14  Ambiguous 
H27        01:07:26.3  +35:46:48.4  99.9  136.7  0.34  0.12  -8.39  H14  4.0  T12  0.86  H14  -291  2  -12  4  UD  Non-substructure 
PAndAS-52  01:12:47.0  +42:25:24.9  78.1  75.9  0.49  0.40  -7.58  H14  5.3  H14  0.96  H14  -297  9  -9  9  V14  Non-substructure 
PAndAS-53  01:17:58.4  +39:14:53.2  95.9  103.9  0.45  0.49  -9.09  H14  3.1  H14  0.85  H14  -271  1  8  3  UD  Non-substructure 
PAndAS-54  01:18:00.1  +39:16:59.9  95.8  103.6  0.49  0.42  -8.58  H14  3.9  H14  0.84  H14  -345  1  -66  3  UD  Non-substructure 
PAndAS-56  01:23:03.5  +41:55:11.0  103.3  81.7  0.03  0.71  -7.63  H14  3.5  H14  0.89  H14  -241  2  40  4  UD  Substructure 
PAndAS-57  01:27:47.5  +40:40:47.2  116.4  90.3  0.03  0.54  -5.70  H14  10.3  H14  0.91  H14  -186  6  90  7  V14  Substructure 
PAndAS-58  01:29:02.2  +40:47:08.7  119.4  89.4  0.06  0.46  -6.17  H14  9.3  H14  1.04  H14  -167  10  109  10  V14  Substructure 
